step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
1,5.75671,0.28,,,,
2,4.7401,0.27778,,,,
3,4.9583,0.24324,,,,
4,6.94839,0.2,,,,
5,8.39506,0.09091,,,,
6,5.79903,0.125,,,,
7,5.74469,0.37838,,,,
8,7.17601,0.23077,,,,
9,7.11806,0.23529,,,,
10,7.85586,0.21429,4.74822,0.4375,,
11,4.49615,0.31429,,,,
12,5.1063,0.33333,,,,
13,5.32272,0.28125,,,,
14,5.73682,0.22727,,,,
15,4.89142,0.21429,,,,
16,4.62577,0.2,,,,
17,5.01494,0.41176,,,,
18,5.20971,0.21429,,,,
19,5.64414,0.2,,,,
20,5.93626,0.1875,4.13721,0.43478,,
21,5.31047,0.42857,,,,
22,6.34477,0.35294,,,,
23,3.39056,0.40541,,,,
24,4.81598,0.34483,,,,
25,4.22802,0.31818,,,,
26,4.54846,0.25974,,,,
27,6.9557,0.15789,,,,
28,5.62465,0.29412,,,,
29,4.1835,0.42857,,,,
30,3.60455,0.41379,4.7468,0.22222,,
31,2.48522,0.70588,,,,
32,4.99904,0.27778,,,,
33,3.25105,0.46154,,,,
34,3.68741,0.38462,,,,
35,3.20194,0.38889,,,,
36,6.36743,0.25,,,,
37,2.67069,0.31707,,,,
38,3.99971,0.23077,,,,
39,3.03716,0.45833,,,,
40,3.91765,0.4,3.73016,0.33333,,
41,3.98393,0.38462,,,,
42,5.54589,0.11111,,,,
43,2.88149,0.5,,,,
44,5.16501,0.29412,,,,
45,3.52552,0.33333,,,,
46,3.01062,0.4507,,,,
47,4.65273,0.33333,,,,
48,4.28202,0.18182,,,,
49,4.78701,0.3,,,,
50,5.53457,0.23077,2.56661,0.5,,
51,2.51992,0.7,,,,
52,0.94747,0.76471,,,,
53,2.41695,0.57143,,,,
54,1.55727,0.75,,,,
55,3.76045,0.3125,,,,
56,2.82923,0.44444,,,,
57,4.70184,0.08333,,,,
58,1.16061,0.7,,,,
59,3.79335,0.23944,,,,
60,3.19531,0.25714,2.83897,0.57143,,
61,2.94531,0.44595,,,,
62,5.85714,0.16667,,,,
63,3.23364,0.48,,,,
64,2.70342,0.55,,,,
65,2.69935,0.5,,,,
66,2.46683,0.5,,,,
67,2.37592,0.54167,,,,
68,3.01061,0.525,,,,
69,3.22626,0.42857,,,,
70,6.24716,0.11765,4.29864,0.3125,,
71,2.70159,0.6,,,,
72,3.72134,0.40741,,,,
73,2.67886,0.36,,,,
74,1.90111,0.72727,,,,
75,3.77632,0.41176,,,,
76,2.34949,0.5,,,,
77,4.48322,0.125,,,,
78,3.16023,0.45455,,,,
79,2.70866,0.53571,,,,
80,3.24951,0.46809,3.78565,0.4,,
81,1.93526,0.72727,,,,
82,2.23159,0.69565,,,,
83,2.85794,0.44262,,,,
84,4.33522,0.29167,,,,
85,4.02931,0.24324,,,,
86,3.64556,0.38462,,,,
87,3.7216,0.33898,,,,
88,2.51207,0.61111,,,,
89,2.88397,0.38636,,,,
90,1.54496,0.69231,1.98658,0.61905,,
91,3.6574,0.5,,,,
92,2.50658,0.47059,,,,
93,3.30493,0.39583,,,,
94,2.35557,0.66667,,,,
95,3.04779,0.37931,,,,
96,3.96695,0.53333,,,,
97,3.02226,0.52381,,,,
98,3.01485,0.39474,,,,
99,3.03559,0.48571,,,,
100,2.79813,0.44118,5.51847,0.125,,
101,2.9661,0.47619,,,,
102,3.06539,0.42857,,,,
103,3.13783,0.59091,,,,
104,2.93219,0.61538,,,,
105,3.4325,0.53333,,,,
106,2.86613,0.38462,,,,
107,2.46116,0.5,,,,
108,3.59562,0.31818,,,,
109,3.94414,0.35294,,,,
110,2.9683,0.46667,2.73784,0.41667,,
111,2.99903,0.375,,,,
112,4.17543,0.37838,,,,
113,3.56644,0.6,,,,
114,4.19229,0.5,,,,
115,2.86103,0.57143,,,,
116,3.09266,0.3913,,,,
117,2.66026,0.5,,,,
118,3.2981,0.47887,,,,
119,3.10225,0.33333,,,,
120,3.8609,0.44,2.11389,0.53333,,
121,1.93374,0.58824,,,,
122,3.74436,0.3125,,,,
123,2.75223,0.475,,,,
124,2.12361,0.61538,,,,
125,4.20785,0.4375,,,,
126,4.04966,0.33333,,,,
127,2.73377,0.51613,,,,
128,3.14604,0.4,,,,
129,2.97057,0.5625,,,,
130,6.00356,0.125,3.59345,0.34848,,
131,2.87243,0.48438,,,,
132,3.81482,0.41667,,,,
133,3.38495,0.27778,,,,
134,1.58227,0.70968,,,,
135,2.28564,0.54054,,,,
136,2.97291,0.37288,,,,
137,4.07318,0.35,,,,
138,4.32114,0.25,,,,
139,2.55737,0.62069,,,,
140,1.9069,0.66667,3.70798,0.31915,,
141,3.40471,0.38462,,,,
142,1.97543,0.58333,,,,
143,1.77762,0.66667,,,,
144,3.72387,0.28169,,,,
145,2.2361,0.64,,,,
146,1.71062,0.61538,,,,
147,2.74793,0.62069,,,,
148,3.71442,0.24194,,,,
149,4.50843,0.26667,,,,
150,2.23301,0.61905,3.48002,0.30769,,
151,3.12336,0.46667,,,,
152,1.51254,0.75,,,,
153,2.81226,0.51515,,,,
154,3.39174,0.41935,,,,
155,4.78803,0.23438,,,,
156,3.39084,0.44156,,,,
157,2.16446,0.56,,,,
158,2.72599,0.5,,,,
159,2.24762,0.54054,,,,
160,2.94214,0.38095,2.86335,0.525,,
161,2.16457,0.66667,,,,
162,3.40207,0.48387,,,,
163,1.51529,0.81818,,,,
164,2.28454,0.54348,,,,
165,3.42332,0.4,,,,
166,1.89828,0.53846,,,,
167,1.97592,0.59259,,,,
168,2.61268,0.53333,,,,
169,2.52651,0.46667,,,,
170,2.22128,0.66667,3.22689,0.36667,,
171,3.26589,0.42857,,,,
172,3.40325,0.43333,,,,
173,1.77935,0.71429,,,,
174,4.15557,0.44,,,,
175,3.76072,0.47368,,,,
176,5.71968,0.375,,,,
177,3.28792,0.46667,,,,
178,3.60463,0.39024,,,,
179,3.67732,0.38462,,,,
180,2.57191,0.625,4.26098,0.25,,
181,4.53265,0.28571,,,,
182,3.8153,0.39474,,,,
183,4.04427,0.30435,,,,
184,2.83084,0.46154,,,,
185,1.60845,0.7,,,,
186,4.43712,0.25,,,,
187,2.85519,0.46429,,,,
188,3.45471,0.37931,,,,
189,2.07385,0.57143,,,,
190,3.53835,0.35,3.66952,0.29167,,
191,4.31223,0.11111,,,,
192,3.02083,0.5641,,,,
193,4.39513,0.28571,,,,
194,2.4627,0.69231,,,,
195,2.27426,0.57143,,,,
196,4.10974,0.34615,,,,
197,4.28276,0.3125,,,,
198,4.04928,0.38095,,,,
199,3.01395,0.51724,,,,
200,3.30795,0.40909,3.40266,0.51613,,
201,2.29056,0.52941,,,,
202,4.14498,0.26316,,,,
203,3.23007,0.46341,,,,
204,3.38351,0.4,,,,
205,3.23778,0.44444,,,,
206,2.91325,0.55,,,,
207,2.87926,0.42857,,,,
208,3.44804,0.41176,,,,
209,2.50238,0.42424,,,,
210,4.17477,0.07143,2.93301,0.46667,,
211,2.4815,0.54545,,,,
212,1.99427,0.625,,,,
213,2.26897,0.75,,,,
214,3.55126,0.2,,,,
215,6.6238,0.04762,,,,
216,6.79391,0.05556,,,,
217,4.95069,0.25,,,,
218,3.68354,0.2,,,,
219,1.69306,0.61905,,,,
220,3.11211,0.42105,3.39245,0.37805,,
221,3.69587,0.41667,,,,
222,3.561,0.35294,,,,
223,2.2924,0.64286,,,,
224,3.45967,0.30556,,,,
225,5.31787,0.2,,,,
226,2.55776,0.38158,,,,
227,2.23949,0.52,,,,
228,2.95368,0.43182,,,,
229,4.25213,0.42105,,,,
230,2.70784,0.5,4.32243,0.33333,,
231,2.25763,0.5625,,,,
232,2.97882,0.47059,,,,
233,3.54965,0.42857,,,,
234,2.4499,0.55,,,,
235,4.05891,0.25,,,,
236,2.26353,0.66667,,,,
237,2.47981,0.3913,,,,
238,5.15231,0.33333,,,,
239,2.34969,0.5,,,,
240,3.31966,0.41176,1.72138,0.61111,,
241,3.05381,0.55,,,,
242,3.25397,0.57143,,,,
243,4.31476,0.30769,,,,
244,2.48779,0.41818,,,,
245,5.15811,0.33333,,,,
246,5.02059,0.3,,,,
247,3.28472,0.61111,,,,
248,2.47543,0.44,,,,
249,4.57391,0.11111,,,,
250,3.71018,0.23333,3.13466,0.40476,,
251,2.50345,0.48571,,,,
252,2.80736,0.52381,,,,
253,2.28627,0.59091,,,,
254,2.65075,0.53846,,,,
255,2.97493,0.53704,,,,
256,3.57992,0.35294,,,,
257,2.67889,0.52,,,,
258,5.07446,0.5,,,,
259,2.80515,0.36585,,,,
260,5.32264,0.28571,2.96129,0.51282,,
261,1.94528,0.61905,,,,
262,1.97554,0.61538,,,,
263,4.09385,0.38889,,,,
264,3.40745,0.31169,,,,
265,3.01223,0.41379,,,,
266,2.14195,0.64,,,,
267,1.6227,0.59459,,,,
