step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,7.85586,0.21429,4.74822,0.4375
2,5.93626,0.1875,4.13721,0.43478
3,3.60455,0.41379,4.7468,0.22222
4,3.91765,0.4,3.73016,0.33333
5,5.53457,0.23077,2.56661,0.5
6,3.19531,0.25714,2.83897,0.57143
7,6.24716,0.11765,4.29864,0.3125
8,3.24951,0.46809,3.78565,0.4
9,1.54496,0.69231,1.98658,0.61905
1,2.79813,0.44118,5.51847,0.125
1,2.9683,0.46667,2.73784,0.41667
12,3.8609,0.44,2.11389,0.53333
13,6.00356,0.125,3.59345,0.34848
14,1.9069,0.66667,3.70798,0.31915
15,2.23301,0.61905,3.48002,0.30769
16,2.94214,0.38095,2.86335,0.525
17,2.22128,0.66667,3.22689,0.36667
18,2.57191,0.625,4.26098,0.25
19,3.53835,0.35,3.66952,0.29167
20,3.30795,0.40909,3.40266,0.51613
21,4.17477,0.07143,2.93301,0.46667
22,3.11211,0.42105,3.39245,0.37805
23,2.70784,0.5,4.32243,0.33333
24,3.31966,0.41176,1.72138,0.61111
25,3.71018,0.23333,3.13466,0.40476
26,5.32264,0.28571,2.96129,0.51282
27,2.94954,0.5,1.36872,0.73333
28,3.33679,0.45455,3.14146,0.41176
29,7.82335,0.1,2.74269,0.4
30,2.14144,0.5,5.63421,0.25
31,3.07019,0.375,2.45113,0.55172
32,2.79673,0.53846,2.99541,0.55
33,1.44115,0.73333,3.32784,0.32143
34,1.58927,0.7619,3.64644,0.25
35,2.84724,0.63158,2.57247,0.42857
36,2.09284,0.575,3.28687,0.41026
37,1.84765,0.59459,2.75829,0.57895
38,2.34971,0.6,1.4429,0.71429
39,2.67858,0.55556,4.76045,0.35714
40,1.84401,0.55,1.05882,0.71429
41,5.17199,0.22222,2.68936,0.5
42,2.80523,0.46,4.41951,0.3
43,3.10598,0.47059,2.84522,0.5
44,3.6848,0.25,3.79169,0.21951
45,2.35597,0.54167,2.76309,0.45455
46,1.45025,0.64,2.89295,0.53333
47,3.97652,0.32812,4.54172,0.35294
48,1.6283,0.71429,2.37976,0.46875
49,3.12403,0.40741,3.13837,0.47368
50,2.48973,0.53521,2.63693,0.5122
51,3.0413,0.44444,2.66957,0.5
52,3.9048,0.27273,2.88012,0.53846
53,2.35049,0.42857,3.57633,0.46667
54,3.57548,0.44,4.59155,0.30769
55,1.67644,0.7069,2.03187,0.6129
56,4.80056,0.11111,2.83709,0.44444
57,2.55829,0.5,2.81197,0.42308
58,2.98305,0.56,3.6355,0.25
59,3.24648,0.5,3.65151,0.47368
60,2.40449,0.57143,2.57257,0.6
61,1.55485,0.66667,1.97121,0.71053
62,1.71737,0.6875,4.03385,0.38462
63,2.92171,0.46667,3.03752,0.44828
64,2.97012,0.52,2.78879,0.52941
65,2.03445,0.64,3.08119,0.44444
66,1.84468,0.68966,7.03344,0.42857
67,1.17723,0.91667,3.21748,0.5
68,1.57821,0.69231,1.87971,0.57778
69,2.01197,0.55556,5.13104,0.34375
70,1.90867,0.52941,3.26973,0.51613
71,1.21225,0.6875,3.69265,0.5
72,2.27867,0.58824,2.83035,0.40741
73,0.72423,0.76923,1.44411,0.72222
74,2.91737,0.5,3.17648,0.41667
75,2.80163,0.54545,4.09923,0.31034
76,2.51201,0.51351,4.15894,0.4
77,2.0409,0.56,2.78643,0.56522
78,2.11517,0.46774,6.52501,0.25
79,2.13845,0.41558,3.42432,0.37736
80,2.09099,0.52778,2.83571,0.61905
81,2.46816,0.52,3.23068,0.54545
82,2.12892,0.5,3.42929,0.29167
83,2.11983,0.5,3.77122,0.39189
84,1.43621,0.77273,4.69998,0.375
85,1.42343,0.61538,2.21913,0.63636
86,2.36567,0.44444,3.22131,0.375
87,2.95335,0.53846,4.43705,0.125
88,2.50906,0.5,2.48027,0.6
89,1.78629,0.69231,4.307,0.33333
90,2.14974,0.5,3.61765,0.4
